192.168.65.1 - - [13/Aug/2025:04:51:37 +0000] "GET / HTTP/1.1" 200 507 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.26100.4652" "-"
192.168.65.1 - - [13/Aug/2025:04:52:16 +0000] "GET / HTTP/1.1" 200 507 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:04:52:16 +0000] "GET /static/css/app.5e250440619ad99d46080faf54099973.css HTTP/1.1" 200 57596 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:04:52:16 +0000] "GET /static/js/manifest.2ae2e69a05c33dfc65f8.js HTTP/1.1" 200 857 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:04:52:16 +0000] "GET /static/js/vendor.32d22daed9f53ca92678.js HTTP/1.1" 200 619245 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:04:52:16 +0000] "GET /static/js/app.04db4db28609b69962da.js HTTP/1.1" 200 87042 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:04:52:16 +0000] "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 200 28200 "http://localhost:8080/static/css/app.5e250440619ad99d46080faf54099973.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:04:52:16 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:06:45:04 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:06:45:04 +0000] "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 304 0 "http://localhost:8080/static/css/app.5e250440619ad99d46080faf54099973.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:07:30:26 +0000] "GET / HTTP/1.1" 200 507 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:07:30:26 +0000] "GET /static/css/app.655c81fde189207c282de658e2c79f97.css HTTP/1.1" 200 57596 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:07:30:26 +0000] "GET /static/js/app.4014ba177fef3b003c9e.js HTTP/1.1" 200 87046 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:09:26:27 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:10:00:26 +0000] "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 200 28200 "http://localhost:8080/static/css/app.655c81fde189207c282de658e2c79f97.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:12:47:07 +0000] "GET /api/sub-process-data HTTP/1.1" 304 0 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:12:47:07 +0000] "GET /api/sub-process-data HTTP/1.1" 304 0 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
192.168.65.1 - - [13/Aug/2025:12:47:07 +0000] "GET /api/sub-process-data HTTP/1.1" 304 0 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0" "-"
