"id","model_run_batch","activity_id","activity_name","activity_risk","remark","del_flag","create_id","create_name","create_time","update_id","update_name","update_time"
"1","2025-09-08_TSY_RISK_01","MK1","获取市场需求信息","中","市场需求不确定性较高","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"2","2025-09-08_TSY_RISK_01","MK5","发掘客户需求","高","关键客户依赖度过大","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"3","2025-09-08_TSY_RISK_01","MK13","确定产品和价格策略","中","原材料价格波动影响定价","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"4","2025-09-08_TSY_RISK_01","MK27","项目中标","低","项目竞争压力一般","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"5","2025-09-08_TSY_RISK_01","MK30","交付回款","中","客户回款能力不足","0","-1","","8/9/2025 14:07:21","-1","","13/9/2025 16:09:23"
"6","2025-09-08_TSY_RISK_01","PU1","计划整合确定","中","供应计划波动","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"7","2025-09-08_TSY_RISK_01","PU6","生产物资供应商准入管理","中","部分供应商资质不稳定","0","-1","","8/9/2025 14:07:21","-1","","13/9/2025 16:10:11"
"8","2025-09-08_TSY_RISK_01","PU14","采购限价制定","中","市场价格波动影响限价合理性","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"9","2025-09-08_TSY_RISK_01","PU22","采购合同起草","低","流程规范，风险可控","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"10","2025-09-08_TSY_RISK_01","PU25","物料供应","高","质量不合格风险","0","-1","","8/9/2025 14:07:21","-1","","13/9/2025 15:28:30"
"11","2025-09-08_TSY_RISK_01","PD1","物料清单BOM","中","设计变更频繁","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"12","2025-09-08_TSY_RISK_01","PD5","创建生产订单","低","系统运行稳定","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"13","2025-09-08_TSY_RISK_01","PD13","转向架焊接","中","工装夹具短缺","0","-1","","8/9/2025 14:07:21","-1","","13/9/2025 15:28:54"
"14","2025-09-08_TSY_RISK_01","PD23","最终装配","高","人工工时紧张","0","-1","","8/9/2025 14:07:21","-1","","13/9/2025 15:29:00"
"15","2025-09-08_TSY_RISK_01","PD28","生产交付","中","交期延误风险","0","-1","","8/9/2025 14:07:21","-1","","13/9/2025 15:29:13"
"16","2025-09-08_TSY_RISK_01","OP1","里程数周期性维护","低","维保计划执行较好","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"17","2025-09-08_TSY_RISK_01","OP5","检查现场情况","中","部分现场反馈滞后","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"18","2025-09-08_TSY_RISK_01","OP7","设备维保","高","设备维修时间过长","0","-1","","8/9/2025 14:07:21","-1","","13/9/2025 16:11:01"
"19","2025-09-08_TSY_RISK_01","OP19","确定运维方案","中","方案优化空间较大","0","-1","","8/9/2025 14:07:21","-1","","8/9/2025 14:07:21"
"20","2025-09-08_TSY_RISK_01","OP26","运维信息反馈","中","客户反馈滞后，存在积压风险","0","-1","","8/9/2025 14:07:21","-1","","13/9/2025 16:10:16"
